,5,13,14,15,18,19,20
වූ,1,1,1,1,1,1,1
නම්,1,1,1,1,1,1,1
යන,1,1,1,1,1,1,1
ඒ,0,1,1,0,1,1,1
මේ,1,1,1,1,1,1,1
ද,1,1,0,1,1,1,1
කොට,0,1,1,1,1,1,1
විසින්,1,1,1,0,1,1,1
ඇති,0,1,1,1,1,1,1
ලද,1,1,1,1,0,1,1
වේ,0,1,0,1,1,0,1
හෝ,1,1,0,0,0,0,1
හා,0,1,1,1,1,1,1
න,0,1,0,0,0,1,1
යනු,0,1,0,0,1,1,1
ච,0,1,0,0,0,1,1
ය,0,1,0,0,0,1,1
වහන්සේ,0,1,1,0,0,1,0
කළ,0,0,0,0,1,1,1
හට,1,0,0,0,1,0,0
හෙයින්,0,1,1,0,1,0,1
ලක්ෂණය,1,0,0,0,0,0,0
මහා,0,1,1,0,0,1,1
බව,0,0,0,0,1,1,1
යයි,0,0,1,0,1,1,1
යි,0,1,1,0,0,0,1
කියා,0,0,0,0,1,1,1
කරණ,0,0,0,1,0,1,1
කල්හි,0,1,1,0,1,0,0
සේ,0,1,0,0,0,0,1
ස,0,0,0,1,0,1,0
ති,0,1,0,0,0,1,0
යැ,0,1,0,0,0,0,1
මහ,0,1,1,0,0,0,0
ර,0,0,0,1,0,0,1
වන,0,1,0,0,0,0,1
තන්හි,0,1,0,0,1,0,0
එක,0,0,0,0,0,1,1
තෙම,1,0,0,0,1,0,0
නො,0,1,0,0,0,0,1
මෙන්,0,0,0,1,0,0,1
එහි,0,0,1,0,0,0,1
පිණිස,0,0,0,0,0,1,0
බුද්ධ,0,0,1,0,1,0,0
ගුණ,0,0,0,1,0,0,1
වැ,0,1,0,0,0,0,1
මෙහි,0,0,0,0,0,0,1
කර,0,0,0,1,0,0,1
රජ,0,0,1,0,0,1,1
මා,0,0,0,0,0,1,0
ට,0,0,0,0,0,1,1
ම,0,0,0,0,0,0,1
පූර්ව,0,0,0,0,1,0,0
